id;titulo;ano;diretor;duracao;generos;pais;orcamento;receita;nota_imdb;ator_1;ator_2;ator_3
tt0036449;Tonight We Raid Calais;1943;John Brahm;70;Action| Drama| Romance;USA;NA;NA;6,4;Annabella; John Sutton; Lee J. Cobb
tt0036515;Quando il giorno verrà;1943;Herman Shumlin, Hal Mohr;114;Drama;USA;NA;NA;7,3;Bette Davis; Paul Lukas; Geraldine Fitzgerald
tt0036518;We've Never Been Licked;1943;John Rawlins;103;Action| Drama| Romance;USA;NA;NA;6,1;Richard Quine; Anne Gwynne; Martha O'Driscoll
tt0036526;Che donna!;1943;Irving Cummings;94;Comedy| Romance;USA;NA;NA;6,5;Rosalind Russell; Brian Aherne; Willard Parker
tt0036529;Cinque maniere di amare;1944;John Rawlins;88;Adventure| Drama| War;USA;NA;NA;5,8;Loretta Young; Geraldine Fitzgerald; Diana Barrymore
tt0036531;Whispering Footsteps;1943;Howard Bretherton;54;Crime| Drama| Film-Noir;USA;NA;NA;6,0;John Hubbard; Rita Quigley; Joan Blair
tt0036533;Whistling in Brooklyn;1943;S. Sylvan Simon;87;Action| Comedy| Crime;USA;NA;NA;6,8;Red Skelton; Ann Rutherford; Jean Rogers
tt0036534;Selvaggia bianca;1943;Arthur Lubin;76;Action| Adventure| Romance;USA;NA;NA;6,0;Maria Montez; Jon Hall; Sabu
tt0036540;Fior di neve;1943;John Brahm;82;Comedy| Musical| Romance;USA;NA;NA;6,3;Sonja Henie; Jack Oakie; Cesar Romero
tt0036552;Young Ideas;1943;Jules Dassin;77;Comedy;USA;NA;NA;5,6;Susan Peters; Herbert Marshall; Mary Astor
tt0036553;Quando eravamo giovani;1943;Edward H. Griffith;83;Comedy;USA;NA;NA;5,8;William Holden; Eddie Bracken; Robert Benchley
tt0036554;The Youngest Profession;1943;Edward Buzzell;82;Comedy| Romance;USA;446000;NA;6,2;Virginia Weidler; Edward Arnold; John Carroll
tt0036579;La spia di Damasco;1944;Léonide Moguy;75;Crime| Drama| Romance;USA;200000;NA;6,2;George Sanders; Virginia Bruce; Lenore Aubert
tt0036581;Address Unknown;1944;William Cameron Menzies;75;Drama;USA;NA;NA;6,9;Paul Lukas; Carl Esmond; Peter van Eyck
tt0036582;Il pilota del Mississippi;1944;Irving Rapper;130;Adventure| Biography| Drama;USA;NA;NA;7,1;Fredric March; Alexis Smith; Donald Crisp
tt0036591;Alì Babà e i 40 ladroni;1944;Arthur Lubin;87;Adventure| Fantasy| Romance;USA;NA;NA;6,4;Maria Montez; Jon Hall; Turhan Bey
tt0036596;L'uomo venuto da lontano;1944;King Vidor;151;Drama;USA;3000000;NA;6,8;Brian Donlevy; Ann Richards; Walter Abel
tt0036599;Nei meandri della casbah;1944;Irving Pichel;86;Drama| Romance;USA;NA;NA;6,8;Alan Ladd; Loretta Young; Susan Hayward
tt0036600;Un fidanzato per due;1944;George Marshall;96;Comedy| Music| Romance;USA;NA;NA;6,3;Dorothy Lamour; Fred MacMurray; Betty Hutton
tt0036602;Andy Hardy's Blonde Trouble;1944;George B. Seitz;107;Comedy| Romance;USA;NA;NA;6,6;Lewis Stone; Mickey Rooney; Fay Holden
tt0036610;Arizona Whirlwind;1944;Robert Emmett Tansey;59;Action| Adventure| Western;USA;NA;NA;6,8;Ken Maynard; Hoot Gibson; Bob Steele
tt0036613;Arsenico e vecchi merletti;1944;Frank Capra;118;Comedy| Crime| Thriller;USA;1120175;NA;8,0;Cary Grant; Priscilla Lane; Raymond Massey
tt0036625;L'avventuriero della città d'oro;1944;Roy Del Ruth;87;Comedy| Western;USA;NA;NA;6,2;Wallace Beery; Binnie Barnes; John Carradine
tt0036628;Bellezze al bagno;1944;George Sidney;101;Comedy| Musical;USA;2361000;NA;6,6;Red Skelton; Esther Williams; Basil Rathbone
tt0036636;La bella dello Yukon;1944;William A. Seiter;83;Comedy| Musical| Romance;USA;NA;NA;5,3;Randolph Scott; Gypsy Rose Lee; Dinah Shore
tt0036640;Fra due donne;1945;Willis Goldbeck;83;Drama;USA;NA;NA;5,9;Van Johnson; Lionel Barrymore; Gloria DeHaven
tt0036641;Tra due mondi;1944;Edward A. Blatt;112;Mystery| Drama| Fantasy;USA;NA;NA;7,2;John Garfield; Paul Henreid; Sydney Greenstreet
tt0036644;The Big Noise;1944;Malcolm St. Clair;74;Action| Adventure| Comedy;USA;NA;NA;6,6;Stan Laurel; Oliver Hardy; Doris Merrick
tt0036650;Block Busters;1944;Wallace Fox;60;Comedy;USA;NA;NA;5,2;Leo Gorcey; Huntz Hall; Gabriel Dell
tt0036651;Blonde Fever;1944;Richard Whorf;69;Comedy| Drama| Romance;USA;NA;NA;5,6;Philip Dorn; Mary Astor; Felix Bressart
